sessionId	itemId	timeframe	Time
1	81766	526309	1462723200.0
1	31331	1031018	1462723200.0
1	32118	243569	1462723200.0
1	9654	75848	1462723200.0
1	32627	1112408	1462723200.0
1	33043	173912	1462723200.0
1	12352	329870	1462723200.0
1	35077	390072	1462723200.0
1	36118	487369	1462723200.0
2	3147	883039	1462723200.0
2	32754	359839	1462723200.0
2	100747	38317	1462723200.0
2	32971	182759	1462723200.0
2	10657	387340	1462723200.0
2	35606	756335	1462723200.0
2	35606	53684	1462723200.0
2	36246	332000	1462723200.0
2	36246	722492	1462723200.0
2	196110	1045018	1462723200.0
5	5140	22430	1462723200.0
5	35472	121036	1462723200.0
7	59248	38806	1462723200.0
7	59248	328086	1462723200.0
7	9416	271202	1462723200.0
7	40639	14808	1462723200.0
7	40639	432980	1462723200.0
7	40639	161072	1462723200.0
7	73816	69100	1462723200.0
7	32742	186920	1462723200.0
7	79626	358743	1462723200.0
10	69597	193275	1459785600.0
10	5103	5639	1459785600.0
12	4168	18252	1459785600.0
12	79898	204561	1459785600.0
12	79898	463266	1459785600.0
13	3680	144850	1459785600.0
13	34797	217117	1459785600.0
13	14784	24256	1459785600.0
14	36156	24366	1459785600.0
14	13931	6581	1459785600.0
15	135099	135386	1459785600.0
15	151445	318401	1459785600.0
15	29592	276284	1459785600.0
15	19726	77423	1459785600.0
15	19726	37837	1459785600.0
15	58223	104426	1459785600.0
17	51353	385045	1460131200.0
17	35142	94227	1460131200.0
17	79898	23421	1460131200.0
18	38873	163875	1460131200.0
18	38873	89503	1460131200.0
18	38873	331806	1460131200.0
18	31579	784079	1460131200.0
18	44491	420232	1460131200.0
18	44491	125167	1460131200.0
18	11732	823478	1460131200.0
18	23840	25804	1460131200.0
18	23840	376155	1460131200.0
18	23840	256852	1460131200.0
18	14914	751143	1460131200.0
20	117403	473943	1459612800.0
20	105612	114278	1459612800.0
20	123272	17648	1459612800.0
20	108888	407044	1459612800.0
20	9029	272662	1459612800.0
20	3633	343934	1459612800.0
20	126437	318707	1459612800.0
20	126437	222008	1459612800.0
22	6542	1068214	1459612800.0
22	6542	1056831	1459612800.0
22	6542	27154	1459612800.0
22	375733	310866	1459612800.0
22	126498	474413	1459612800.0
28	1013	610105	1462636800.0
28	121104	637382	1462636800.0
28	46610	57944	1462636800.0
28	12787	560336	1462636800.0
28	24619	458264	1462636800.0
28	13061	534924	1462636800.0
28	126308	191916	1462636800.0
28	164504	758283	1462636800.0
28	164504	728531	1462636800.0
28	25583	706033	1462636800.0
29	2042	114562	1459699200.0
29	2042	212134	1459699200.0
29	2042	40988	1459699200.0
32	3719	410142	1460044800.0
32	11338	512845	1460044800.0
32	11338	435504	1460044800.0
32	387	825971	1460044800.0
32	35311	246549	1460044800.0
32	35311	139389	1460044800.0
32	35311	229388	1460044800.0
32	35311	91968	1460044800.0
32	79130	33930	1460044800.0
33	32142	65780	1460044800.0
33	63532	563443	1460044800.0
33	28249	20417	1460044800.0
33	35378	970150	1460044800.0
33	35418	683871	1460044800.0
33	5450	386521	1460044800.0
33	6267	38783	1460044800.0
35	59968	70766	1460044800.0
35	84043	521854	1460044800.0
35	172323	337114	1460044800.0
35	172323	311805	1460044800.0
35	172323	275718	1460044800.0
35	117825	97825	1460044800.0
35	75155	324858	1460044800.0
35	86471	284410	1460044800.0
35	4145	437172	1460044800.0
35	66165	23536	1460044800.0
35	4735	492003	1460044800.0
35	4735	556080	1460044800.0
35	130777	575102	1460044800.0
35	201689	951359	1460044800.0
37	8549	177568	1460044800.0
37	8549	100164	1460044800.0
37	8549	168186	1460044800.0
37	62898	468003	1460044800.0
37	62898	513250	1460044800.0
37	62898	504592	1460044800.0
37	28580	285742	1460044800.0
40	82984	66531	1460044800.0
40	82984	502469	1460044800.0
40	82984	224786	1460044800.0
40	80334	130688	1460044800.0
40	80334	5457	1460044800.0
40	42	701070	1460044800.0
42	4185	152247	1460044800.0
42	55594	9774	1460044800.0
42	6308	42046	1460044800.0
42	14280	125099	1460044800.0
43	3433	489835	1460131200.0
43	36956	455479	1460131200.0
43	14784	364997	1460131200.0
43	14784	102794	1460131200.0
46	66956	582262	1462723200.0
46	90812	11667	1462723200.0
46	6306	181963	1462723200.0
48	24764	8863	1460131200.0
48	24764	496381	1460131200.0
48	24764	265216	1460131200.0
48	24764	519975	1460131200.0
48	24764	456437	1460131200.0
53	6096	975111	1459699200.0
53	6096	8233	1459699200.0
53	6096	341715	1459699200.0
56	20138	250960	1462723200.0
56	381701	219337	1462723200.0
56	381701	162837	1462723200.0
56	377512	204214	1462723200.0
56	375980	10135	1462723200.0
56	376089	92333	1462723200.0
56	376526	364360	1462723200.0
56	376526	257611	1462723200.0
56	376526	232647	1462723200.0
56	378922	49966	1462723200.0
56	378729	112200	1462723200.0
56	381813	307510	1462723200.0
59	30893	33305	1462723200.0
59	1407	214579	1462723200.0
59	2391	183355	1462723200.0
